title,code,song_by,status
(Forever) Live And Die,17519,OMD,New
1 Nite,17981,Cobra Starship ft My Name is,New
"1, 2, 3, 4",17209,Plain White T's,New
10 Seconds,17381,Jazmin Sullivan,New
1/2/2003,17222,Gloria Estefan,New
14,17223,Silent Sanctuary,New
143,17382,Bobby Brackins,New
1995,17162,Eraserheads,New
20 Minutes Before Take-Off,17896,Dan Henry,New
20/20,17224,Pupil,New
22 Anyos,17905,Len Clarino & Cesar Verdeflor,New
24/Seven,17383,Big Time Rush,New
3:00 AM,17384,Kate Nash,New
4 In The Morning,17385,Gwen Stefani,New
40 Kinds Of Sadness,17330,Ryan Cabrera,New
5:19,17387,Matt Wertz,New
679,17186,Fetty Wap ft Remy Boyz,New
7 Years,17824,Lukas Graham,New
99,17481,Toto,New
A Ba Ka Da,17518,Florante,New
A Better Man,17730,Toni Braxton,New
A Call to Arms,17388,Urbandub,New
A Certain Sadness,18187,Astrud Gilberto,New
A Certain Smile,17725,Introvoys,New
A Girl Like You,17782,"Kevon
Edmonds &",New
A House Is Not A Home,17783,Dionne Warwick,New
A Little Too Much,17482,Shawn Mendez,New
A Love To Last,18217,Donna Cruz,New
A Million Love Songs,17709,Take That,New
A Million Years Ago,17290,Adele,New
A New Tattoo,17225,Urbandub,New
A Penny For Your Thoughts,18182,Tavares,New
A Place To Hideaway,17891,The Carpenters,New
A Place With No Name,17684,Michael Jackson,New
A Song For You,17336,Carpenters,New
A Teenagers Romance,17685,Ricky Nelson,New
A Thousand Stars,18082,"Eugene
Pearson",New
A Thousand Trees,17876,Stereophonics,New
A Twist In My Story,18183,Secondhand Serenade,New
A Wish On Christmas Night,17226,Jose Mari Chan,New
A Woman Needs Love,17686,Ray Parker Jr & Raydio,New
Abante,17341,"Loonie ft Kat
Agarrado",New
About You Boy,18184,Pop Girls,New
Absolutely (Story Of A Girl),17203,Nine Days,New
Accidently Kelly Street,17784,Frente,New
According To You,18185,Orianthi,New
Adam's Song,17966,Blink 182,New
Addams Groove,17741,Mc Hammer,New
Adventure Of A Lifetime,17470,Coldplay,New
After We Make Love,17785,"Whitney
Houston",New
Again,17177,Bruno Mars,New
Again,17272,"Sarah
Geronimo",New
Agmaymaysa Ka Toy Pusok,17343,Jessa Lopez,New
Aint Got Far To Go,17483,Jess Glynne,New
Aint Looking For Love,17774,Loverboy,New
Ain't Nobody,17229,Chaka Khan,New
Ain't That A Lot Of Love,17291,Simply Red,New
Ain't Worth The Whiskey,17581,Cole Swindell,New
Akala Mo Lang Yon,17484,Herbert Colanggo,New
Aking Pagmamahal,17390,Repablikan,New
"Ako Ang Nagwagi, Ako Ang Nasawi",17882,Dulce,New
Ako Na Lang,17165,Angeline Quinto,New
Alam Niya Ba,17192,James Reid,New
Aldub Medley,18083,Maine Mendoza and Alden,New
Alfie,17292,"Barbra
Streisand",New
Alive,17738,Krewella,New
Alive,17935,Sia,New
All American Nightmare,17582,Hinder,New
All Cried Out,17787,Lisa Lisa And The Cult Jam,New
All Eyes On You,17266,"Meek Mill ft
Chris Brown &",New
All I Ask,17389,Adele,New
All I Want Is You,17230,Justin Bieber,New
All In,17982,Lifehouse,New
All In My Head,18128,"Fifth Harmony ft
Fetty Wap",New
All My Life,17511,Aaron Neville & Linda Ronstadt,New
All Of The Lights,17391,"Kanye West ft Rihanna, Kid",New
All Of The Stars,17510,Ed Sheeran,New
All Of You,17485,Julio Iglesias & Diana Ross,New
All She Knows,17237,Bruno Mars,New
All That's Left,17688,Christian Bautista,New
All This Time,17689,Side A ft Sharon Cuneta,New
All Your Life,17788,The Band Perry,New
Alligator Sky,17583,Owl City,New
Allison Road,17258,Gin Blossoms,New
Almost,18021,Tamia,New
Almost Grown,18186,Chuck Berry,New
Almost Lover,18084,A Fine Frenzy,New
Alone Together,17789,Fall Out Boy,New
Alone With You,17392,Jake Owens,New
Along Comes Mary,17690,The Association,New
Along The Way,17947,Atlantic Starr,New
Already Callin' You Mine,17890,Parmalee,New
Already Gone,17883,Eagles,New
Always,17231,James Ingram,New
Always Been You,17486,Imajin,New
Always On Time,17393,Ja Rule,New
Always On Your Side,17584,"Sheryl Crow ft
Sting",New
Always The Last To Know,17944,Del Amitri,New
Ambon,17708,Barbie Almalbis,New
Amen,17487,Meek Mill ft Jeremih &,New
American Oxygen,17585,Rihanna,New
Ana's Song (Open Fire),17334,Silverchair,New
And So It Goes,18026,Billy Joel,New
Ang Ating Pag-ibig,17790,Aaron Paul,New
Animals,17111,Maroon 5,New
Animals,17489,Nickelback,New
Anna Sun,17490,Walk The Moon,New
Anong Kailangan Kong Gawin,17293,Myrus,New
Another Rainy Day,18174,"Corinne Bailey
Rae",New
Another World,17268,One Direction,New
Another You,17491,Brian McKnight,New
Answer Me,17492,Matt Monroe,New
Anyone,17892,Roxette,New
Anyone Can Play Guitar,18178,Radiohead,New
Anything,17394,3T,New
Apartment #9,17274,"Tammy
Wynnette",New
Arapaap,17395,Silvia Gaoiran,New
Araw Oras Tagpuan,17691,Spongecola,New
"Araw, Ulap, Langit",17301,"Christian
Bautista",New
Are You In,17586,Incubus,New
Armageddon It,17983,Def Leppard,New
Army,18028,Ellie Goulding,New
Around The World,17233,Red Hot Chili Peppers,New
Around The World,17345,Frank Sinatra,New
